ts,scenario,op,n,note,ms
2025-09-08T18:17:53.392857373+03:00,heap_no_index,insert,10000,bulk=10000,81.538
2025-09-08T18:17:53.470941382+03:00,heap_no_index,insert,10000,bulk=10000,78.067
2025-09-08T18:17:53.552350546+03:00,heap_no_index,insert,10000,bulk=10000,81.395
2025-09-08T18:17:53.630209102+03:00,heap_no_index,insert,10000,bulk=10000,77.844
2025-09-08T18:17:53.708323562+03:00,heap_no_index,insert,10000,bulk=10000,78.101
2025-09-08T18:17:53.785727159+03:00,heap_no_index,insert,10000,bulk=10000,77.391
2025-09-08T18:17:53.863676231+03:00,heap_no_index,insert,10000,bulk=10000,77.936
2025-09-08T18:17:53.94161343+03:00,heap_no_index,insert,10000,bulk=10000,77.922
2025-09-08T18:17:54.019300799+03:00,heap_no_index,insert,10000,bulk=10000,77.674
2025-09-08T18:17:54.098104959+03:00,heap_no_index,insert,10000,bulk=10000,78.791
2025-09-08T18:17:54.177401232+03:00,heap_no_index,insert,10000,bulk=10000,79.282
2025-09-08T18:17:54.25027984+03:00,heap_no_index,insert,10000,bulk=10000,72.849
2025-09-08T18:17:54.321042692+03:00,heap_no_index,insert,10000,bulk=10000,70.750
2025-09-08T18:17:54.401409031+03:00,heap_no_index,insert,10000,bulk=10000,80.352
2025-09-08T18:17:54.477235991+03:00,heap_no_index,insert,10000,bulk=10000,75.808
2025-09-08T18:17:54.560716839+03:00,heap_no_index,insert,10000,bulk=10000,83.458
2025-09-08T18:17:54.621871109+03:00,heap_no_index,insert,10000,bulk=10000,61.141
2025-09-08T18:17:54.681331196+03:00,heap_no_index,insert,10000,bulk=10000,59.444
2025-09-08T18:17:54.741185547+03:00,heap_no_index,insert,10000,bulk=10000,59.840
2025-09-08T18:17:54.801134605+03:00,heap_no_index,insert,10000,bulk=10000,59.937
2025-09-08T18:17:54.861029116+03:00,heap_no_index,insert,10000,bulk=10000,59.878
2025-09-08T18:17:54.923348855+03:00,heap_no_index,insert,10000,bulk=10000,62.303
2025-09-08T18:17:54.986016134+03:00,heap_no_index,insert,10000,bulk=10000,62.650
2025-09-08T18:17:55.043482622+03:00,heap_no_index,insert,10000,bulk=10000,57.451
2025-09-08T18:17:55.100728475+03:00,heap_no_index,insert,10000,bulk=10000,57.233
2025-09-08T18:17:55.158493611+03:00,heap_no_index,insert,10000,bulk=10000,57.752
2025-09-08T18:17:55.215435089+03:00,heap_no_index,insert,10000,bulk=10000,56.927
2025-09-08T18:17:55.271568203+03:00,heap_no_index,insert,10000,bulk=10000,56.120
2025-09-08T18:17:55.330862622+03:00,heap_no_index,insert,10000,bulk=10000,59.280
2025-09-08T18:17:55.391497608+03:00,heap_no_index,insert,10000,bulk=10000,60.621
2025-09-08T18:17:55.452364264+03:00,heap_no_index,insert,10000,bulk=10000,60.849
2025-09-08T18:17:55.508067983+03:00,heap_no_index,insert,10000,bulk=10000,55.681
2025-09-08T18:17:55.564554922+03:00,heap_no_index,insert,10000,bulk=10000,56.472
2025-09-08T18:17:55.620574542+03:00,heap_no_index,insert,10000,bulk=10000,56.006
2025-09-08T18:17:55.687352291+03:00,heap_no_index,insert,10000,bulk=10000,66.763
2025-09-08T18:17:55.754503701+03:00,heap_no_index,insert,10000,bulk=10000,67.137
2025-09-08T18:17:55.820118145+03:00,heap_no_index,insert,10000,bulk=10000,65.597
2025-09-08T18:17:55.887273047+03:00,heap_no_index,insert,10000,bulk=10000,67.138
2025-09-08T18:17:55.949494587+03:00,heap_no_index,insert,10000,bulk=10000,62.184
2025-09-08T18:17:56.013496774+03:00,heap_no_index,insert,10000,bulk=10000,63.988
2025-09-08T18:17:56.072201299+03:00,heap_no_index,insert,10000,bulk=10000,58.689
2025-09-08T18:17:56.1331584+03:00,heap_no_index,insert,10000,bulk=10000,60.929
2025-09-08T18:17:56.19114424+03:00,heap_no_index,insert,10000,bulk=10000,57.971
2025-09-08T18:17:56.248087463+03:00,heap_no_index,insert,10000,bulk=10000,56.930
2025-09-08T18:17:56.312465546+03:00,heap_no_index,insert,10000,bulk=10000,64.365
2025-09-08T18:17:56.370661962+03:00,heap_no_index,insert,10000,bulk=10000,58.184
2025-09-08T18:17:56.427131021+03:00,heap_no_index,insert,10000,bulk=10000,56.451
2025-09-08T18:17:56.491924739+03:00,heap_no_index,insert,10000,bulk=10000,64.782
2025-09-08T18:17:56.548655989+03:00,heap_no_index,insert,10000,bulk=10000,56.717
2025-09-08T18:17:56.604257737+03:00,heap_no_index,insert,10000,bulk=10000,55.585
2025-09-08T18:17:56.660355092+03:00,heap_no_index,insert,10000,bulk=10000,56.084
2025-09-08T18:17:56.716479405+03:00,heap_no_index,insert,10000,bulk=10000,56.074
2025-09-08T18:17:56.772849636+03:00,heap_no_index,insert,10000,bulk=10000,56.355
2025-09-08T18:17:56.829955664+03:00,heap_no_index,insert,10000,bulk=10000,57.093
2025-09-08T18:17:56.887688881+03:00,heap_no_index,insert,10000,bulk=10000,57.719
2025-09-08T18:17:56.941673554+03:00,heap_no_index,insert,10000,bulk=10000,53.969
2025-09-08T18:17:56.998676074+03:00,heap_no_index,insert,10000,bulk=10000,56.988
2025-09-08T18:17:57.05585376+03:00,heap_no_index,insert,10000,bulk=10000,57.166
2025-09-08T18:17:57.112012855+03:00,heap_no_index,insert,10000,bulk=10000,56.146
2025-09-08T18:17:57.167413665+03:00,heap_no_index,insert,10000,bulk=10000,55.386
2025-09-08T18:17:57.223206433+03:00,heap_no_index,insert,10000,bulk=10000,55.780
2025-09-08T18:17:57.278454845+03:00,heap_no_index,insert,10000,bulk=10000,55.234
2025-09-08T18:17:57.333855655+03:00,heap_no_index,insert,10000,bulk=10000,55.388
2025-09-08T18:17:57.394136885+03:00,heap_no_index,insert,10000,bulk=10000,60.268
2025-09-08T18:17:57.450267554+03:00,heap_no_index,insert,10000,bulk=10000,56.118
2025-09-08T18:17:57.507404452+03:00,heap_no_index,insert,10000,bulk=10000,57.122
2025-09-08T18:17:57.563218243+03:00,heap_no_index,insert,10000,bulk=10000,55.802
2025-09-08T18:17:57.620454597+03:00,heap_no_index,insert,10000,bulk=10000,57.223
2025-09-08T18:17:57.678766533+03:00,heap_no_index,insert,10000,bulk=10000,58.298
2025-09-08T18:17:57.734119011+03:00,heap_no_index,insert,10000,bulk=10000,55.340
2025-09-08T18:17:57.789264335+03:00,heap_no_index,insert,10000,bulk=10000,55.131
2025-09-08T18:17:57.845086717+03:00,heap_no_index,insert,10000,bulk=10000,55.808
2025-09-08T18:17:57.901415601+03:00,heap_no_index,insert,10000,bulk=10000,56.317
2025-09-08T18:17:57.962407972+03:00,heap_no_index,insert,10000,bulk=10000,60.979
2025-09-08T18:17:58.021104604+03:00,heap_no_index,insert,10000,bulk=10000,58.676
2025-09-08T18:17:58.077037268+03:00,heap_no_index,insert,10000,bulk=10000,55.921
2025-09-08T18:17:58.133257894+03:00,heap_no_index,insert,10000,bulk=10000,56.207
2025-09-08T18:17:58.18907385+03:00,heap_no_index,insert,10000,bulk=10000,55.805
2025-09-08T18:17:58.246923425+03:00,heap_no_index,insert,10000,bulk=10000,57.837
2025-09-08T18:17:58.303924059+03:00,heap_no_index,insert,10000,bulk=10000,56.987
2025-09-08T18:17:58.359395689+03:00,heap_no_index,insert,10000,bulk=10000,55.458
2025-09-08T18:17:58.415497792+03:00,heap_no_index,insert,10000,bulk=10000,56.086
